#time,accel_x,accel_y,accel_z
3454.662246,-9548.656652,148.041188,-766.095498
3454.662584,-9474.636058,0.000000,-689.485948
3454.662921,-9474.636058,0.000000,-766.095498
3454.663259,-9252.574275,0.000000,-1225.752797
3454.663596,-9474.636058,-1110.308913,-689.485948
3454.663934,-9918.759623,-444.123565,0.000000
3454.664271,-10362.883188,-1628.453072,0.000000
3454.664609,-10066.800811,-1554.432478,459.657299
3454.664946,-10214.842000,-962.267725,612.876398
3454.665284,-10584.944971,-1480.411884,995.924147
3454.665621,-11029.068536,-962.267725,229.828649
3454.665959,-10140.821405,-1924.535449,306.438199
3454.666296,-10288.862594,-962.267725,1149.143247
3454.666633,-10658.965565,-592.164754,1225.752797
3454.666971,-11029.068536,0.000000,919.314598
3454.667308,-9992.780217,370.102971,689.485948
3454.667646,-10807.006753,0.000000,766.095498
3454.667983,-11029.068536,0.000000,1302.362347
3454.668321,-10584.944971,0.000000,153.219100
3454.668658,-9696.697840,0.000000,536.266849
3454.668996,-9474.636058,0.000000,153.219100
3454.669333,-10140.821405,-962.267725,306.438199
3454.669671,-10436.903782,-1332.370696,-76.609550
3454.670008,-9474.636058,-1332.370696,459.657299
3454.670346,-8290.306550,-592.164754,-919.314598
3454.670683,-8956.491898,-1036.288319,-229.828649
3454.671021,-9918.759623,-1554.432478,536.266849
3454.671358,-9548.656652,-1924.535449,612.876398
3454.671696,-9770.718434,-962.267725,1532.190996
3454.672033,-9696.697840,-814.226536,1455.581446
3454.672371,-9992.780217,-1184.329507,1532.190996
3454.672708,-10658.965565,-1850.514855,2528.115143
3454.673046,-10510.924376,-1554.432478,2757.943793
3454.673383,-9844.739029,-518.144159,3140.991542
3454.673721,-9844.739029,444.123565,3064.381992
3454.674058,-10584.944971,0.000000,2145.067394
3454.674396,-11473.192101,-518.144159,1991.848295
3454.674733,-10436.903782,-962.267725,1991.848295
3454.675071,-9178.553681,222.061783,3064.381992
3454.675408,-9548.656652,-444.123565,3370.820191
3454.675746,-10362.883188,-518.144159,2834.553343
3454.676083,-11251.130318,-2220.617826,2221.676944
3454.676421,-10436.903782,-1850.514855,2068.457845
3454.676758,-10140.821405,-2072.576638,2145.067394
3454.677096,-10436.903782,-3256.906145,2221.676944
3454.677433,-9400.615463,-3108.864956,536.266849
3454.677771,-9104.533087,-4367.215058,0.000000
3454.678108,-9252.574275,-4811.338623,1378.971896
3454.678446,-8364.327145,-4959.379811,1072.533697
3454.678783,-9474.636058,-4737.318029,2451.505594
3454.679121,-9918.759623,-3627.009116,1608.800546
3454.679458,-10288.862594,-3256.906145,2221.676944
3454.679796,-11251.130318,-3478.967927,2528.115143
3454.680133,-10510.924376,-3923.091493,3370.820191
3454.680471,-9622.677246,-3034.844362,4826.401637
3454.680808,-10288.862594,-2368.659014,4136.915689
3454.681146,-10510.924376,-1924.535449,2834.553343
3454.681483,-11621.233289,-1776.494261,2374.896044
3454.681821,-10584.944971,-2146.597232,1991.848295
