#time,accel_x,accel_y,accel_z
3028.658707,-9992.780217,148.041188,1302.362347
3028.659044,-10066.800811,518.144159,1149.143247
3028.659382,-9992.780217,888.247130,766.095498
3028.659720,-10436.903782,1110.308913,383.047749
3028.660057,-9918.759623,740.205942,-383.047749
3028.660395,-10140.821405,1554.432478,0.000000
3028.660733,-9474.636058,1036.288319,-536.266849
3028.661070,-9992.780217,666.185348,-229.828649
3028.661408,-10066.800811,814.226536,-766.095498
3028.661746,-10066.800811,-296.082377,-1072.533697
3028.662083,-10288.862594,0.000000,-229.828649
3028.662421,-10140.821405,-888.247130,-689.485948
3028.662759,-10066.800811,-1332.370696,-995.924147
3028.663096,-9474.636058,-1702.473667,-1225.752797
3028.663434,-9844.739029,-2220.617826,-383.047749
3028.663772,-10288.862594,-1702.473667,0.000000
3028.664109,-10362.883188,-2146.597232,383.047749
3028.664447,-9770.718434,-1406.391290,153.219100
3028.664785,-10288.862594,-1776.494261,995.924147
3028.665123,-10881.027347,-1332.370696,1762.019645
3028.665460,-10881.027347,-1036.288319,1608.800546
3028.665798,-10288.862594,-666.185348,1455.581446
3028.666136,-10362.883188,-1110.308913,1608.800546
3028.666473,-10658.965565,-1110.308913,1532.190996
3028.666811,-10066.800811,148.041188,1149.143247
3028.667149,-10066.800811,296.082377,766.095498
3028.667486,-9696.697840,592.164754,383.047749
3028.667824,-10288.862594,370.102971,-306.438199
3028.668162,-10732.986159,148.041188,0.000000
3028.668499,-9104.533087,222.061783,-919.314598
3028.668837,-8882.471304,518.144159,-306.438199
3028.669175,-10214.842000,0.000000,-919.314598
3028.669512,-9770.718434,-518.144159,-1225.752797
3028.669850,-9400.615463,-740.205942,-1149.143247
3028.670188,-9104.533087,-888.247130,-1302.362347
3028.670525,-9104.533087,-370.102971,-1072.533697
3028.670863,-9770.718434,-1332.370696,-1302.362347
3028.671201,-10066.800811,-1628.453072,-536.266849
3028.671539,-9104.533087,-1258.350101,-1608.800546
3028.671876,-9474.636058,-518.144159,-842.705048
3028.672214,-10436.903782,-740.205942,-766.095498
3028.672552,-10362.883188,-1406.391290,-1302.362347
3028.672889,-9844.739029,-1850.514855,0.000000
3028.673227,-9548.656652,-1184.329507,612.876398
3028.673565,-10436.903782,-370.102971,1225.752797
3028.673902,-11695.253884,518.144159,-766.095498
3028.674240,-11621.233289,-1554.432478,-2834.553343
3028.674578,-9844.739029,-1924.535449,-1608.800546
3028.674915,-9696.697840,-2072.576638,-766.095498
3028.675253,-9548.656652,-2072.576638,-689.485948
3028.675591,-10066.800811,-1924.535449,-3524.039291
3028.675928,-10214.842000,-2146.597232,-3217.601092
3028.676266,-9770.718434,-3034.844362,-2451.505594
3028.676604,-10140.821405,-3330.926739,-1915.238745
3028.676942,-11029.068536,-3330.926739,-2451.505594
3028.677279,-10881.027347,-3034.844362,-4213.525239
3028.677617,-10214.842000,-4367.215058,-4826.401637
3028.677955,-8734.430116,-5329.482782,-4060.306139
3028.678292,-8660.409521,-5033.400406,-2528.115143
3028.678630,-8882.471304,-4293.194464,-1532.190996
3028.678968,-9622.677246,-4293.194464,-1532.190996
3028.679305,-10214.842000,-2294.638420,-1608.800546
3028.679643,-11251.130318,-2146.597232,-612.876398
3028.679981,-10658.965565,-1998.556043,-459.657299
3028.680318,-10955.047942,-1998.556043,-1532.190996
3028.680656,-10658.965565,-2738.761985,-459.657299
3028.680994,-10732.986159,-2960.823768,-459.657299
3028.681331,-8882.471304,-2960.823768,229.828649
3028.681669,-8364.327145,-2368.659014,229.828649
3028.682007,-9252.574275,-1258.350101,0.000000
3028.682344,-10436.903782,0.000000,-1455.581446
3028.682682,-10510.924376,0.000000,-2681.334243
3028.683020,-10362.883188,-666.185348,-3600.648841
3028.683358,-9844.739029,-1998.556043,-3370.820191
3028.683695,-10584.944971,-2738.761985,-2451.505594
3028.684033,-9474.636058,-3182.885551,-1762.019645
3028.684371,-8808.450710,-3775.050304,-1225.752797
3028.684708,-8734.430116,-3478.967927,-1072.533697
3028.685046,-9252.574275,-4737.318029,-1762.019645
3028.685384,-9918.759623,-4441.235652,-1302.362347
3028.685721,-10066.800811,-3182.885551,-612.876398
3028.686059,-9992.780217,-1850.514855,0.000000
3028.686397,-10955.047942,-592.164754,-1685.410096
3028.686734,-11547.212695,-2072.576638,-2528.115143
3028.687072,-11473.192101,-2960.823768,-2604.724693
3028.687410,-9844.739029,-4515.256246,-1302.362347
3028.687747,-9844.739029,-3404.947333,0.000000
3028.688085,-9030.512492,-2516.700203,-1762.019645
3028.688423,-9770.718434,-3256.906145,-1915.238745
3028.688760,-10658.965565,-3330.926739,-1685.410096
3028.689098,-10140.821405,-1184.329507,-2068.457845
3028.689436,-10362.883188,296.082377,-1915.238745
3028.689774,-10510.924376,222.061783,-3064.381992
3028.690111,-11399.171507,-1258.350101,-2987.772442
