#time,accel_x,accel_y,accel_z
2980.597856,-10066.800811,-296.082377,0.000000
2980.598194,-10140.821405,-370.102971,-229.828649
2980.598532,-10214.842000,-296.082377,0.000000
2980.598869,-10436.903782,-1036.288319,689.485948
2980.599207,-10510.924376,-1184.329507,612.876398
2980.599544,-9548.656652,-296.082377,0.000000
2980.599882,-10584.944971,-518.144159,536.266849
2980.600219,-10881.027347,-370.102971,0.000000
2980.600557,-10732.986159,-518.144159,0.000000
2980.600894,-10436.903782,-518.144159,0.000000
2980.601232,-9918.759623,-518.144159,229.828649
2980.601569,-9770.718434,0.000000,-766.095498
2980.601907,-10584.944971,-666.185348,-766.095498
2980.602244,-10658.965565,-1406.391290,229.828649
2980.602582,-9326.594869,-1776.494261,-229.828649
2980.602919,-9622.677246,-962.267725,-766.095498
2980.603257,-10510.924376,-1776.494261,-689.485948
2980.603595,-9992.780217,-2072.576638,-1608.800546
2980.603932,-9474.636058,-2220.617826,-1685.410096
2980.604270,-9178.553681,-2368.659014,-459.657299
2980.604607,-9400.615463,-1776.494261,-842.705048
2980.604945,-10732.986159,-1480.411884,-919.314598
2980.605282,-9992.780217,-1924.535449,-1378.971896
2980.605620,-8956.491898,-2368.659014,-459.657299
2980.605957,-9326.594869,-1406.391290,1685.410096
2980.606295,-10510.924376,-74.020594,1532.190996
2980.606632,-11991.336260,222.061783,0.000000
2980.606970,-10510.924376,-518.144159,-919.314598
2980.607307,-9770.718434,-740.205942,-229.828649
2980.607645,-9770.718434,-444.123565,842.705048
2980.607983,-10436.903782,0.000000,-306.438199
2980.608320,-10214.842000,0.000000,-1991.848295
2980.608658,-9252.574275,-740.205942,-2987.772442
2980.608995,-9104.533087,-888.247130,-2221.676944
2980.609333,-10066.800811,-1036.288319,-1532.190996
2980.609670,-9992.780217,-1850.514855,-3217.601092
2980.610008,-10881.027347,-1776.494261,-4290.134789
2980.610345,-10214.842000,-2960.823768,-5209.449386
2980.610683,-8956.491898,-3775.050304,-4443.353888
2980.611020,-8734.430116,-4737.318029,-3064.381992
2980.611358,-8290.306550,-5329.482782,-3064.381992
2980.611695,-9030.512492,-4367.215058,-2451.505594
2980.612033,-9918.759623,-3552.988522,-1838.629195
2980.612371,-10658.965565,-2960.823768,-2221.676944
2980.612708,-11029.068536,-3404.947333,-3447.429741
2980.613046,-10807.006753,-4219.173869,-3370.820191
2980.613383,-10658.965565,-5255.462188,-2834.553343
2980.613721,-9844.739029,-5107.421000,-1378.971896
2980.614058,-8290.306550,-5477.523971,-153.219100
2980.614396,-8956.491898,-3923.091493,229.828649
2980.614733,-9918.759623,-2368.659014,153.219100
2980.615071,-11695.253884,-1628.453072,-689.485948
2980.615408,-11695.253884,-1110.308913,-2451.505594
2980.615746,-11325.150913,-1554.432478,-3370.820191
2980.616083,-11029.068536,-2368.659014,-2145.067394
2980.616421,-10362.883188,-2886.803174,-2145.067394
2980.616758,-9104.533087,-2960.823768,-1302.362347
2980.617096,-9030.512492,-3108.864956,-153.219100
2980.617434,-9548.656652,-3108.864956,-1685.410096
2980.617771,-9918.759623,-2960.823768,-2451.505594
2980.618109,-9770.718434,-2738.761985,-2145.067394
2980.618446,-9030.512492,-2146.597232,-153.219100
2980.618784,-9474.636058,-296.082377,459.657299
2980.619121,-11029.068536,0.000000,-536.266849
2980.619459,-11547.212695,-296.082377,-1838.629195
2980.619796,-10658.965565,-2442.679609,-2221.676944
2980.620134,-9474.636058,-3330.926739,0.000000
2980.620471,-8438.347739,-2368.659014,459.657299
2980.620809,-8290.306550,-2294.638420,-383.047749
2980.621146,-9474.636058,-2590.720797,-842.705048
2980.621484,-9400.615463,-1406.391290,-1378.971896
2980.621822,-9400.615463,1036.288319,-1149.143247
2980.622159,-9474.636058,1702.473667,-1991.848295
2980.622497,-11399.171507,814.226536,-1608.800546
2980.622834,-12731.542202,74.020594,-1685.410096
2980.623172,-11769.274478,-444.123565,-2451.505594
2980.623509,-8808.450710,-1554.432478,-2374.896044
2980.623847,-7698.141797,-4219.173869,-383.047749
2980.624184,-9548.656652,-4663.297435,0.000000
2980.624522,-9474.636058,-3182.885551,-3064.381992
2980.624859,-8956.491898,-1850.514855,-4519.963438
