#time,accel_x,accel_y,accel_z
3010.117676,-9770.718434,666.185348,-459.657299
3010.118014,-9178.553681,888.247130,-153.219100
3010.118351,-9474.636058,-148.041188,-1225.752797
3010.118689,-9252.574275,0.000000,-536.266849
3010.119026,-9252.574275,0.000000,-1072.533697
3010.119364,-9326.594869,-148.041188,-842.705048
3010.119701,-9918.759623,-222.061783,0.000000
3010.120039,-9992.780217,-814.226536,76.609550
3010.120376,-10510.924376,74.020594,0.000000
3010.120713,-10066.800811,0.000000,-306.438199
3010.121051,-9918.759623,-296.082377,-306.438199
3010.121388,-10732.986159,-1110.308913,689.485948
3010.121726,-11177.109724,-1258.350101,612.876398
3010.122063,-9696.697840,74.020594,766.095498
3010.122401,-10066.800811,0.000000,306.438199
3010.122738,-10584.944971,-296.082377,306.438199
3010.123076,-11103.089130,-592.164754,0.000000
3010.123413,-10955.047942,-592.164754,536.266849
3010.123751,-9770.718434,-148.041188,0.000000
3010.124088,-9548.656652,0.000000,229.828649
3010.124426,-10436.903782,-370.102971,229.828649
3010.124763,-10436.903782,-1776.494261,-995.924147
3010.125101,-9474.636058,-1554.432478,-612.876398
3010.125438,-9030.512492,-1480.411884,-612.876398
3010.125776,-9992.780217,-740.205942,-766.095498
3010.126113,-9918.759623,-1998.556043,-2145.067394
3010.126450,-10362.883188,-2442.679609,-1762.019645
3010.126788,-9252.574275,-1850.514855,-1608.800546
3010.127125,-9326.594869,-1480.411884,-1378.971896
3010.127463,-10510.924376,-1184.329507,0.000000
3010.127800,-10214.842000,-1554.432478,-842.705048
3010.128138,-9696.697840,-1776.494261,0.000000
3010.128475,-9326.594869,-1036.288319,1149.143247
3010.128813,-10214.842000,-592.164754,1915.238745
3010.129150,-11769.274478,592.164754,0.000000
3010.129488,-11029.068536,-222.061783,-1302.362347
3010.129825,-9326.594869,-370.102971,-842.705048
3010.130163,-9474.636058,-518.144159,536.266849
3010.130500,-9992.780217,74.020594,0.000000
3010.130838,-10288.862594,518.144159,-2298.286494
3010.131175,-9770.718434,-296.082377,-2451.505594
