#time,accel_x,accel_y,accel_z
2913.617869,-8956.491898,-1184.329507,-306.438199
2913.618207,-8512.368333,-1702.473667,-153.219100
2913.618544,-8808.450710,-1332.370696,383.047749
2913.618882,-9104.533087,-1258.350101,-842.705048
2913.619220,-8882.471304,148.041188,-1455.581446
2913.619558,-9474.636058,1998.556043,-1378.971896
2913.619896,-11029.068536,1776.494261,-1608.800546
2913.620233,-11325.150913,1702.473667,-2451.505594
2913.620571,-11103.089130,-296.082377,-3370.820191
2913.620909,-10140.821405,-1110.308913,-2298.286494
2913.621247,-8882.471304,-2664.741391,-1302.362347
2913.621585,-8364.327145,-3701.029710,-459.657299
2913.621922,-8512.368333,-4441.235652,76.609550
2913.622260,-8882.471304,-3330.926739,-306.438199
2913.622598,-11547.212695,-2368.659014,-459.657299
2913.622936,-13175.665768,-1702.473667,-1378.971896
2913.623274,-12361.439231,-444.123565,-2834.553343
2913.623611,-11769.274478,-1110.308913,-2528.115143
2913.623949,-10955.047942,-1850.514855,-2604.724693
2913.624287,-8734.430116,-3330.926739,-2145.067394
2913.624625,-9030.512492,-4515.256246,-995.924147
2913.624963,-8734.430116,-3701.029710,-383.047749
2913.625300,-9622.677246,-3849.070898,-76.609550
2913.625638,-10658.965565,-2812.782580,-76.609550
2913.625976,-11103.089130,-1702.473667,-995.924147
2913.626314,-10955.047942,-666.185348,-766.095498
2913.626652,-10658.965565,74.020594,-1991.848295
2913.626989,-9992.780217,-888.247130,-3140.991542
2913.627327,-9770.718434,-1924.535449,-3524.039291
2913.627665,-9326.594869,-2960.823768,-4290.134789
2913.628003,-9400.615463,-3404.947333,-4443.353888
2913.628341,-9104.533087,-4367.215058,-4673.182538
2913.628678,-8068.244768,-4811.338623,-3830.477490
2913.629016,-7846.182985,-4737.318029,-2834.553343
2913.629354,-8882.471304,-3701.029710,-1762.019645
2913.629692,-10066.800811,-1702.473667,-766.095498
2913.630030,-11769.274478,-1036.288319,-2221.676944
2913.630367,-11843.295072,-740.205942,-3064.381992
2913.630705,-11325.150913,-2368.659014,-3064.381992
2913.631043,-9770.718434,-3997.112087,-1685.410096
2913.631381,-8660.409521,-3923.091493,153.219100
2913.631719,-8808.450710,-4737.318029,1149.143247
2913.632056,-9548.656652,-3552.988522,612.876398
2913.632394,-10584.944971,-2664.741391,-1991.848295
2913.632732,-11103.089130,-3404.947333,-3217.601092
2913.633070,-11547.212695,-3627.009116,-2528.115143
