#time,accel_x,accel_y,accel_z
3338.944042,-10362.883188,0.000000,1072.533697
3338.944380,-9770.718434,1332.370696,766.095498
3338.944717,-9474.636058,1702.473667,-995.924147
3338.945055,-10881.027347,370.102971,76.609550
3338.945393,-10658.965565,0.000000,-919.314598
3338.945730,-10214.842000,-518.144159,-306.438199
3338.946068,-10214.842000,-148.041188,0.000000
3338.946406,-8956.491898,-1332.370696,-153.219100
3338.946743,-10658.965565,-1850.514855,153.219100
3338.947081,-10436.903782,-2886.803174,0.000000
3338.947419,-9252.574275,-2738.761985,229.828649
3338.947757,-9474.636058,-2072.576638,766.095498
3338.948094,-10362.883188,-2886.803174,842.705048
3338.948432,-10066.800811,-2220.617826,1378.971896
3338.948770,-10584.944971,-2442.679609,1532.190996
3338.949107,-10140.821405,-1258.350101,2374.896044
3338.949445,-10066.800811,-1258.350101,1991.848295
3338.949783,-10658.965565,-666.185348,2451.505594
3338.950120,-11029.068536,-1110.308913,1378.971896
3338.950458,-10584.944971,-1258.350101,2068.457845
3338.950796,-9474.636058,148.041188,2451.505594
3338.951133,-9918.759623,0.000000,2528.115143
3338.951471,-10288.862594,296.082377,2374.896044
3338.951809,-10362.883188,-592.164754,1072.533697
3338.952147,-10140.821405,-222.061783,1838.629195
3338.952484,-8734.430116,-222.061783,3064.381992
3338.952822,-9326.594869,-148.041188,3524.039291
3338.953160,-10140.821405,-1258.350101,3830.477490
3338.953497,-10732.986159,-1480.411884,2068.457845
3338.953835,-9548.656652,-2072.576638,2757.943793
3338.954173,-9696.697840,-1850.514855,2757.943793
3338.954510,-8956.491898,-2812.782580,2451.505594
3338.954848,-9548.656652,-2664.741391,2145.067394
3338.955186,-9252.574275,-3404.947333,1225.752797
3338.955523,-9326.594869,-3552.988522,1608.800546
3338.955861,-9030.512492,-3701.029710,2757.943793
3338.956199,-9326.594869,-2960.823768,3447.429741
3338.956536,-9992.780217,-2368.659014,4136.915689
3338.956874,-11103.089130,-2368.659014,2298.286494
3338.957212,-10214.842000,-1850.514855,3370.820191
3338.957550,-11251.130318,-2960.823768,3294.210641
