#time,accel_x,accel_y,accel_z
2858.290413,-9474.636058,-2220.617826,-1532.190996
2858.290750,-9918.759623,-2072.576638,-766.095498
2858.291088,-10214.842000,-2072.576638,-1072.533697
2858.291425,-10807.006753,-3256.906145,-459.657299
2858.291763,-9770.718434,-3108.864956,-689.485948
2858.292101,-8364.327145,-2886.803174,-919.314598
2858.292438,-8734.430116,-1776.494261,-229.828649
2858.292776,-9326.594869,-666.185348,-383.047749
2858.293113,-9474.636058,814.226536,-995.924147
2858.293451,-10732.986159,1184.329507,-1532.190996
2858.293789,-10807.006753,2220.617826,-2374.896044
2858.294126,-11251.130318,518.144159,-2451.505594
2858.294464,-10288.862594,-962.267725,-2528.115143
2858.294801,-9178.553681,-1776.494261,-1762.019645
2858.295139,-9474.636058,-2738.761985,153.219100
2858.295476,-8882.471304,-1924.535449,766.095498
2858.295814,-9474.636058,-1480.411884,153.219100
2858.296152,-10881.027347,-518.144159,306.438199
2858.296489,-11103.089130,592.164754,-919.314598
2858.296827,-11843.295072,1184.329507,-995.924147
2858.297164,-10955.047942,740.205942,-1685.410096
2858.297502,-9548.656652,222.061783,-1455.581446
2858.297840,-10066.800811,-666.185348,-1149.143247
2858.298177,-9548.656652,-1332.370696,-1455.581446
2858.298515,-9178.553681,-2294.638420,-612.876398
2858.298852,-10214.842000,-2960.823768,-1302.362347
2858.299190,-9770.718434,-3034.844362,-2911.162892
2858.299528,-9696.697840,-2516.700203,-3983.696590
2858.299865,-9548.656652,-3182.885551,-4903.011187
2858.300203,-8438.347739,-2960.823768,-5056.230287
2858.300540,-7846.182985,-2960.823768,-4366.744339
2858.300878,-8734.430116,-2886.803174,-3524.039291
2858.301216,-9844.739029,-2886.803174,-3140.991542
2858.301553,-10955.047942,-3330.926739,-3600.648841
2858.301891,-11399.171507,-4293.194464,-3677.258390
2858.302228,-11621.233289,-5551.544565,-4060.306139
2858.302566,-9992.780217,-6957.935855,-3370.820191
2858.302903,-8956.491898,-7698.141797,-2451.505594
2858.303241,-8660.409521,-7254.018232,-842.705048
2858.303579,-8586.388927,-4219.173869,-536.266849
2858.303916,-9992.780217,-2442.679609,0.000000
2858.304254,-11769.274478,-666.185348,-1072.533697
2858.304591,-12731.542202,-1332.370696,-1838.629195
2858.304929,-12805.562797,-444.123565,-995.924147
2858.305267,-12065.356855,-1480.411884,0.000000
2858.305604,-10436.903782,-3034.844362,1378.971896
2858.305942,-9474.636058,-4071.132681,1915.238745
2858.306279,-8586.388927,-3330.926739,2068.457845
2858.306617,-8586.388927,-1554.432478,0.000000
2858.306955,-9252.574275,-1702.473667,-1225.752797
2858.307292,-9474.636058,-1332.370696,-1225.752797
2858.307630,-9030.512492,-518.144159,-383.047749
2858.307967,-9844.739029,1776.494261,1149.143247
2858.308305,-10362.883188,1998.556043,-842.705048
2858.308643,-11547.212695,0.000000,-1915.238745
2858.308980,-10881.027347,-2738.761985,-1455.581446
2858.309318,-7846.182985,-4737.318029,1378.971896
2858.309655,-7105.977043,-3552.988522,4290.134789
2858.309993,-8068.244768,-3256.906145,3294.210641
2858.310330,-9252.574275,-2442.679609,-383.047749
2858.310668,-10584.944971,-2368.659014,-1685.410096
2858.311006,-9696.697840,-592.164754,-536.266849
2858.311343,-9252.574275,1998.556043,1762.019645
2858.311681,-11621.233289,3552.988522,1149.143247
2858.312018,-13101.645173,2590.720797,-1072.533697
2858.312356,-12583.501014,-370.102971,-1915.238745
2858.312694,-10881.027347,-1184.329507,766.095498
2858.313031,-9474.636058,-1850.514855,2834.553343
2858.313369,-8438.347739,-1776.494261,2145.067394
2858.313706,-9696.697840,-1110.308913,-919.314598
2858.314044,-10807.006753,-1184.329507,-2298.286494
2858.314382,-9918.759623,962.267725,-2451.505594
2858.314719,-9622.677246,2590.720797,-1915.238745
2858.315057,-11621.233289,3404.947333,-2528.115143
2858.315394,-11621.233289,2072.576638,-4749.792088
2858.315732,-11695.253884,-444.123565,-3600.648841
2858.316069,-8882.471304,-888.247130,-766.095498
2858.316407,-6883.915261,-1924.535449,1225.752797
2858.316744,-7994.224174,-2442.679609,1149.143247
2858.317081,-9548.656652,-2886.803174,229.828649
2858.317419,-10436.903782,-1184.329507,1072.533697
2858.317756,-10658.965565,1628.453072,2221.676944
2858.318094,-10140.821405,3997.112087,536.266849
2858.318431,-11251.130318,3627.009116,-919.314598
2858.318769,-12583.501014,2072.576638,-536.266849
2858.319106,-10214.842000,2812.782580,153.219100
2858.319444,-7772.162391,2812.782580,2681.334243
2858.319781,-8216.285956,2368.659014,3524.039291
2858.320119,-10732.986159,-370.102971,2298.286494
2858.320456,-11695.253884,370.102971,1532.190996
2858.320794,-10436.903782,1702.473667,2451.505594
