#time,accel_x,accel_y,accel_z
3294.068458,-9178.553681,-3923.091493,76.609550
3294.068796,-9400.615463,-3108.864956,1455.581446
3294.069133,-9696.697840,-2516.700203,612.876398
3294.069471,-10066.800811,-2072.576638,76.609550
3294.069809,-10362.883188,-2664.741391,842.705048
3294.070146,-9770.718434,-2738.761985,2221.676944
3294.070484,-10584.944971,-2294.638420,2834.553343
3294.070822,-10436.903782,-1554.432478,3140.991542
3294.071159,-10658.965565,-444.123565,2221.676944
3294.071497,-11177.109724,-370.102971,2604.724693
3294.071835,-11177.109724,-370.102971,3064.381992
3294.072172,-9770.718434,-444.123565,2604.724693
3294.072510,-9992.780217,148.041188,2681.334243
3294.072848,-10066.800811,740.205942,2911.162892
3294.073185,-10140.821405,740.205942,1378.971896
3294.073523,-9474.636058,666.185348,1149.143247
3294.073861,-9474.636058,962.267725,612.876398
3294.074198,-9770.718434,370.102971,1532.190996
3294.074536,-10436.903782,74.020594,536.266849
3294.074873,-9030.512492,-814.226536,612.876398
3294.075211,-9252.574275,-1554.432478,1608.800546
3294.075549,-8808.450710,-2590.720797,2298.286494
3294.075886,-9548.656652,-2146.597232,2451.505594
3294.076224,-9696.697840,-1702.473667,2911.162892
3294.076562,-10510.924376,-2368.659014,3140.991542
3294.076899,-10436.903782,-2294.638420,3140.991542
3294.077237,-10584.944971,-2442.679609,3217.601092
3294.077575,-10436.903782,-2442.679609,3907.087040
3294.077912,-9918.759623,-3552.988522,3600.648841
3294.078250,-9474.636058,-3108.864956,4290.134789
3294.078588,-10066.800811,-3182.885551,4290.134789
3294.078925,-10362.883188,-3108.864956,4290.134789
3294.079263,-10881.027347,-3256.906145,3983.696590
3294.079600,-11251.130318,-3552.988522,4136.915689
3294.079938,-10288.862594,-3404.947333,4443.353888
3294.080276,-9992.780217,-3923.091493,4979.620737
3294.080613,-10288.862594,-4737.318029,5132.839837
3294.080951,-10510.924376,-4367.215058,4443.353888
3294.081289,-11251.130318,-3849.070898,2681.334243
3294.081626,-10807.006753,-2812.782580,842.705048
3294.081964,-9844.739029,-4145.153275,-689.485948
3294.082302,-9548.656652,-4959.379811,306.438199
3294.082639,-8808.450710,-5847.626942,766.095498
3294.082977,-8142.265362,-5551.544565,1991.848295
3294.083315,-9030.512492,-5033.400406,2451.505594
3294.083652,-10510.924376,-4737.318029,2145.067394
3294.083990,-10066.800811,-4367.215058,1991.848295
3294.084328,-9844.739029,-4219.173869,3830.477490
3294.084665,-10584.944971,-3182.885551,5362.668486
3294.085003,-10955.047942,-1776.494261,3753.867940
3294.085340,-10436.903782,-296.082377,1302.362347
3294.085678,-10510.924376,-666.185348,536.266849
3294.086016,-10140.821405,-1850.514855,1225.752797
3294.086353,-10066.800811,-2812.782580,2145.067394
3294.086691,-8438.347739,-2072.576638,2604.724693
3294.087029,-7550.100608,-1480.411884,2681.334243
3294.087366,-10214.842000,-1924.535449,3370.820191
3294.087704,-11769.274478,-2146.597232,2987.772442
3294.088042,-10732.986159,-814.226536,1685.410096
3294.088379,-10362.883188,1036.288319,995.924147
3294.088717,-11029.068536,1628.453072,-459.657299
3294.089055,-11399.171507,-296.082377,-2528.115143
3294.089392,-9326.594869,-2368.659014,-3294.210641
3294.089730,-6587.832884,-5329.482782,0.000000
3294.090068,-7476.080014,-5181.441594,4136.915689
3294.090405,-10807.006753,-4811.338623,4519.963438
3294.090743,-10362.883188,-3330.926739,1455.581446
3294.091080,-9178.553681,-1332.370696,-919.314598
3294.091417,-10584.944971,-1480.411884,2911.162892
3294.091755,-11621.233289,-2516.700203,3600.648841
3294.092092,-10510.924376,-1258.350101,4136.915689
3294.092430,-10955.047942,-592.164754,5286.058936
3294.092767,-11843.295072,740.205942,4519.963438
3294.093105,-11917.315666,-1184.329507,2298.286494
3294.093442,-10288.862594,-2072.576638,2604.724693
3294.093780,-8882.471304,-2590.720797,2145.067394
3294.094118,-8216.285956,-962.267725,2451.505594
3294.094455,-8734.430116,-296.082377,2528.115143
3294.094793,-10658.965565,222.061783,2451.505594
3294.095130,-12287.418637,296.082377,1685.410096
3294.095468,-10658.965565,1924.535449,-76.609550
3294.095805,-9844.739029,2146.597232,919.314598
3294.096143,-9474.636058,222.061783,2528.115143
3294.096480,-9696.697840,-814.226536,3064.381992
3294.096818,-10214.842000,-518.144159,2528.115143
3294.097155,-9326.594869,444.123565,1685.410096
3294.097493,-11177.109724,0.000000,1685.410096
3294.097830,-10214.842000,-1998.556043,459.657299
3294.098168,-7920.203579,-2812.782580,689.485948
3294.098505,-7772.162391,-1480.411884,3600.648841
3294.098843,-8586.388927,814.226536,3140.991542
3294.099180,-11029.068536,2368.659014,766.095498
3294.099518,-11695.253884,2294.638420,-1225.752797
3294.099855,-10955.047942,296.082377,0.000000
3294.100193,-10881.027347,74.020594,3677.258390
3294.100530,-10066.800811,0.000000,4213.525239
3294.100868,-8882.471304,962.267725,2145.067394
3294.101205,-9252.574275,0.000000,-1225.752797
3294.101543,-10732.986159,-1480.411884,-2451.505594
3294.101880,-10066.800811,-2516.700203,-1608.800546
3294.102218,-9252.574275,-2812.782580,0.000000
3294.102555,-8956.491898,-740.205942,-919.314598
3294.102893,-10288.862594,-518.144159,-3677.258390
3294.103230,-11399.171507,-1258.350101,-4673.182538
3294.103568,-9770.718434,-3997.112087,-2374.896044
3294.103905,-10288.862594,-4737.318029,995.924147
3294.104243,-9992.780217,-2664.741391,1915.238745
3294.104580,-11029.068536,-1924.535449,536.266849
3294.104918,-12509.480420,-2294.638420,-995.924147
3294.105255,-10658.965565,-5107.421000,-2068.457845
3294.105593,-10140.821405,-6217.729913,229.828649
3294.105930,-8956.491898,-3404.947333,1378.971896
3294.106268,-8660.409521,-1998.556043,1991.848295
3294.106606,-10807.006753,148.041188,-459.657299
3294.106943,-10510.924376,-666.185348,-766.095498
3294.107281,-11843.295072,-1924.535449,2757.943793
3294.107618,-11769.274478,370.102971,3830.477490
3294.107956,-9844.739029,1406.391290,2298.286494
3294.108293,-11399.171507,1776.494261,1225.752797
3294.108631,-9474.636058,444.123565,-612.876398
3294.108968,-8364.327145,-2220.617826,1302.362347
3294.109306,-9770.718434,-1480.411884,2911.162892
3294.109643,-7476.080014,592.164754,766.095498
3294.109981,-9622.677246,1702.473667,-995.924147
3294.110318,-9918.759623,518.144159,-1532.190996
3294.110656,-8882.471304,-1924.535449,-383.047749
3294.110993,-10732.986159,-444.123565,2604.724693
3294.111331,-8882.471304,2146.597232,766.095498
3294.111668,-10584.944971,2220.617826,-383.047749
3294.112006,-11621.233289,1998.556043,-1762.019645
3294.112343,-7698.141797,-2072.576638,-766.095498
3294.112681,-8438.347739,-2368.659014,2145.067394
3294.113018,-8808.450710,-1258.350101,2298.286494
3294.113356,-10362.883188,296.082377,1532.190996
3294.113693,-11843.295072,0.000000,1072.533697
3294.114031,-9844.739029,-962.267725,383.047749
3294.114368,-11769.274478,-962.267725,3294.210641
3294.114706,-11843.295072,1332.370696,2757.943793
3294.115043,-10955.047942,1480.411884,919.314598
3294.115381,-11621.233289,2368.659014,-1685.410096
