#time,accel_x,accel_y,accel_z
3070.510741,-9696.697840,-1554.432478,-1072.533697
3070.511079,-10066.800811,-1480.411884,-229.828649
3070.511417,-10066.800811,-1554.432478,-306.438199
3070.511754,-10362.883188,-1554.432478,76.609550
3070.512092,-10288.862594,-1480.411884,536.266849
3070.512430,-9696.697840,-1776.494261,995.924147
3070.512768,-10510.924376,-1332.370696,2068.457845
3070.513105,-11103.089130,-1184.329507,1378.971896
3070.513443,-10140.821405,-148.041188,612.876398
3070.513781,-10955.047942,-370.102971,229.828649
3070.514118,-11325.150913,-1036.288319,1225.752797
3070.514456,-10140.821405,-740.205942,1225.752797
3070.514794,-9474.636058,-444.123565,612.876398
3070.515132,-9548.656652,0.000000,536.266849
3070.515469,-10214.842000,-518.144159,0.000000
3070.515807,-11399.171507,-444.123565,-383.047749
3070.516145,-9992.780217,-592.164754,-766.095498
3070.516483,-9030.512492,-296.082377,-459.657299
3070.516820,-9770.718434,-370.102971,-383.047749
3070.517158,-10436.903782,-666.185348,-1302.362347
3070.517496,-9178.553681,-1924.535449,-995.924147
3070.517833,-8882.471304,-1406.391290,-919.314598
3070.518171,-9252.574275,-1258.350101,-383.047749
3070.518509,-10436.903782,-592.164754,-995.924147
3070.518847,-10955.047942,-1332.370696,-383.047749
3070.519184,-9474.636058,-666.185348,-995.924147
3070.519522,-9178.553681,-888.247130,0.000000
3070.519860,-10140.821405,0.000000,76.609550
3070.520198,-10140.821405,-814.226536,-459.657299
3070.520535,-9770.718434,-666.185348,-766.095498
3070.520873,-9252.574275,-740.205942,612.876398
3070.521211,-9548.656652,0.000000,1302.362347
3070.521549,-10510.924376,296.082377,-459.657299
3070.521886,-11251.130318,-444.123565,-2374.896044
3070.522224,-9770.718434,-148.041188,-2451.505594
3070.522562,-9696.697840,-1998.556043,-1455.581446
3070.522899,-10288.862594,-1110.308913,-842.705048
3070.523237,-9622.677246,-2368.659014,-2987.772442
3070.523575,-10584.944971,-2516.700203,-3830.477490
3070.523913,-9474.636058,-2886.803174,-2911.162892
3070.524250,-9474.636058,-3775.050304,-2451.505594
3070.524588,-9918.759623,-3552.988522,-2221.676944
3070.524926,-11029.068536,-4219.173869,-3830.477490
3070.525264,-10807.006753,-3627.009116,-4673.182538
3070.525601,-10140.821405,-4515.256246,-4443.353888
3070.525939,-9400.615463,-5403.503377,-3370.820191
3070.526277,-8882.471304,-5033.400406,-1915.238745
3070.526614,-9030.512492,-4367.215058,-1149.143247
3070.526952,-10288.862594,-3182.885551,0.000000
3070.527290,-10658.965565,-2368.659014,-766.095498
3070.527628,-11103.089130,-1850.514855,-766.095498
3070.527965,-11399.171507,-1702.473667,-1532.190996
3070.528303,-10436.903782,-2590.720797,-2451.505594
3070.528641,-10584.944971,-3330.926739,-995.924147
3070.528979,-9770.718434,-3627.009116,-1149.143247
3070.529316,-7624.121203,-3108.864956,-766.095498
3070.529654,-8734.430116,-1850.514855,-612.876398
3070.529992,-9844.739029,-1036.288319,-919.314598
3070.530330,-10732.986159,-370.102971,-2451.505594
3070.530667,-10658.965565,-444.123565,-3983.696590
3070.531005,-10658.965565,-814.226536,-3830.477490
3070.531343,-10214.842000,-2738.761985,-2834.553343
3070.531680,-9918.759623,-3108.864956,-1378.971896
3070.532018,-9474.636058,-3404.947333,-766.095498
3070.532356,-9104.533087,-2886.803174,-383.047749
3070.532694,-9178.553681,-3627.009116,-995.924147
3070.533031,-9548.656652,-3997.112087,-919.314598
3070.533369,-9252.574275,-3182.885551,0.000000
3070.533707,-9474.636058,-1850.514855,689.485948
3070.534045,-10658.965565,444.123565,383.047749
3070.534382,-11621.233289,-370.102971,-1072.533697
3070.534720,-11991.336260,-1480.411884,-1762.019645
3070.535058,-10510.924376,-3775.050304,-1532.190996
3070.535395,-9326.594869,-2960.823768,-76.609550
3070.535733,-8808.450710,-3330.926739,153.219100
3070.536071,-8882.471304,-3923.091493,-1991.848295
3070.536409,-9696.697840,-3182.885551,-2528.115143
3070.536746,-10584.944971,-2442.679609,-2681.334243
3070.537084,-9918.759623,-370.102971,-2987.772442
3070.537422,-9104.533087,-592.164754,-3600.648841
3070.537760,-11547.212695,-1110.308913,-2911.162892
3070.538097,-12139.377449,-1702.473667,-3217.601092
3070.538435,-11029.068536,-1776.494261,-3524.039291
3070.538773,-8364.327145,-3108.864956,-2145.067394
3070.539111,-8734.430116,-4737.318029,-766.095498
3070.539448,-10584.944971,-4367.215058,-536.266849
3070.539786,-10362.883188,-2368.659014,-3600.648841
3070.540124,-8512.368333,-2516.700203,-3447.429741
3070.540461,-10658.965565,-2664.741391,-3064.381992
3070.540799,-11251.130318,-1258.350101,-4060.306139
3070.541137,-10214.842000,-592.164754,-3983.696590
3070.541475,-8882.471304,-1036.288319,-612.876398
3070.541812,-9326.594869,-814.226536,536.266849
3070.542150,-10362.883188,-296.082377,0.000000
3070.542488,-11547.212695,-592.164754,0.000000
3070.542826,-10584.944971,-444.123565,76.609550
3070.543163,-9326.594869,-1110.308913,229.828649
3070.543501,-9474.636058,-296.082377,1378.971896
3070.543839,-10362.883188,0.000000,612.876398
3070.544176,-10436.903782,296.082377,-1762.019645
3070.544514,-10732.986159,-518.144159,-3983.696590
3070.544852,-10288.862594,-1776.494261,-3753.867940
3070.545190,-9992.780217,-1554.432478,-3983.696590
3070.545527,-9030.512492,-2072.576638,-3294.210641
3070.545865,-8660.409521,-2516.700203,-4519.963438
3070.546203,-8512.368333,-4293.194464,-3064.381992
3070.546541,-9104.533087,-4515.256246,-1225.752797
3070.546878,-8586.388927,-4219.173869,153.219100
3070.547216,-10584.944971,-2812.782580,842.705048
3070.547554,-11547.212695,-2886.803174,-153.219100
3070.547891,-11473.192101,-2516.700203,-1685.410096
3070.548229,-10807.006753,-3627.009116,-1915.238745
3070.548567,-10214.842000,-4663.297435,-2451.505594
3070.548905,-9400.615463,-5107.421000,-1838.629195
3070.549242,-8734.430116,-4589.276840,-2757.943793
3070.549580,-9104.533087,-4589.276840,-2374.896044
