#time,accel_x,accel_y,accel_z
3451.298273,-9844.739029,-1480.411884,536.266849
3451.298610,-9178.553681,-1480.411884,306.438199
3451.298948,-9400.615463,-296.082377,612.876398
3451.299286,-9474.636058,-666.185348,383.047749
3451.299623,-9770.718434,-962.267725,536.266849
3451.299961,-10658.965565,-1998.556043,1302.362347
3451.300299,-10510.924376,-888.247130,1838.629195
3451.300636,-9474.636058,518.144159,1762.019645
3451.300974,-10658.965565,222.061783,919.314598
3451.301312,-11251.130318,0.000000,995.924147
3451.301650,-10658.965565,-296.082377,919.314598
3451.301987,-9992.780217,296.082377,1455.581446
3451.302325,-9474.636058,814.226536,153.219100
3451.302663,-10362.883188,888.247130,766.095498
3451.303000,-11473.192101,148.041188,-612.876398
3451.303338,-10955.047942,-888.247130,-689.485948
3451.303676,-9548.656652,-518.144159,0.000000
3451.304013,-9474.636058,-1406.391290,-76.609550
3451.304351,-10066.800811,-1998.556043,0.000000
3451.304689,-9400.615463,-3330.926739,0.000000
3451.305026,-9770.718434,-2368.659014,536.266849
3451.305364,-9548.656652,-2664.741391,2298.286494
3451.305702,-9918.759623,-1998.556043,1455.581446
3451.306040,-10807.006753,-2368.659014,2145.067394
3451.306377,-10807.006753,-2812.782580,2068.457845
3451.306715,-9770.718434,-2442.679609,2451.505594
3451.307053,-9400.615463,-2516.700203,4826.401637
3451.307390,-9770.718434,-2072.576638,5439.278036
3451.307728,-10658.965565,-1702.473667,4366.744339
3451.308066,-11621.233289,-1406.391290,5209.449386
3451.308403,-11177.109724,-592.164754,4213.525239
3451.308741,-9844.739029,-1258.350101,4519.963438
3451.309079,-10510.924376,-148.041188,4290.134789
3451.309417,-9770.718434,74.020594,2834.553343
3451.309754,-10140.821405,-1110.308913,1915.238745
3451.310092,-10140.821405,-1258.350101,2374.896044
3451.310430,-9400.615463,-1628.453072,2604.724693
3451.310767,-9696.697840,-740.205942,3140.991542
3451.311105,-9918.759623,-1554.432478,1685.410096
3451.311443,-10066.800811,-1924.535449,306.438199
3451.311780,-9992.780217,-2812.782580,766.095498
3451.312118,-9474.636058,-3552.988522,2221.676944
3451.312456,-8734.430116,-3775.050304,2911.162892
3451.312793,-9474.636058,-3849.070898,2604.724693
3451.313131,-9696.697840,-3330.926739,1532.190996
3451.313469,-10362.883188,-3404.947333,919.314598
3451.313807,-9400.615463,-4219.173869,1608.800546
3451.314144,-8956.491898,-5625.565159,3217.601092
3451.314482,-9622.677246,-4885.359217,4749.792088
3451.314820,-10584.944971,-3775.050304,4366.744339
3451.315157,-11695.253884,-2442.679609,3140.991542
3451.315495,-11621.233289,-1702.473667,1455.581446
3451.315833,-10510.924376,-1554.432478,612.876398
3451.316170,-10362.883188,-2738.761985,1378.971896
3451.316508,-9104.533087,-3182.885551,919.314598
3451.316846,-9326.594869,-3034.844362,1149.143247
3451.317184,-10658.965565,-3108.864956,1991.848295
3451.317521,-10955.047942,-3256.906145,1608.800546
3451.317859,-10140.821405,-3108.864956,1608.800546
