#time,accel_x,accel_y,accel_z
2878.547543,-9844.739029,-2294.638420,-2374.896044
2878.547881,-10807.006753,-2294.638420,-1915.238745
2878.548219,-10584.944971,-3849.070898,-995.924147
2878.548556,-9696.697840,-4145.153275,0.000000
2878.548894,-9622.677246,-3997.112087,919.314598
2878.549232,-8660.409521,-3997.112087,919.314598
2878.549569,-9548.656652,-2960.823768,612.876398
2878.549907,-9326.594869,-1332.370696,-1225.752797
2878.550245,-9548.656652,-444.123565,-459.657299
2878.550582,-10510.924376,1554.432478,-536.266849
2878.550920,-10732.986159,2664.741391,-1915.238745
2878.551257,-11029.068536,1998.556043,-1225.752797
2878.551595,-10881.027347,1554.432478,-1915.238745
2878.551933,-10881.027347,370.102971,-1838.629195
2878.552270,-10436.903782,-444.123565,-1532.190996
2878.552608,-9178.553681,-888.247130,-995.924147
2878.552946,-9474.636058,-888.247130,-842.705048
2878.553283,-10066.800811,-888.247130,-1455.581446
2878.553621,-10288.862594,-592.164754,-1991.848295
2878.553959,-10658.965565,-1110.308913,-1685.410096
2878.554296,-10066.800811,222.061783,-2374.896044
2878.554634,-10658.965565,74.020594,-1608.800546
2878.554972,-9992.780217,-1036.288319,-2451.505594
2878.555309,-9104.533087,-1480.411884,-1991.848295
2878.555647,-9992.780217,-2812.782580,-995.924147
2878.555985,-9252.574275,-2812.782580,-1991.848295
2878.556322,-9770.718434,-3552.988522,-2221.676944
2878.556660,-9696.697840,-4663.297435,-2528.115143
2878.556998,-8142.265362,-4145.153275,-2451.505594
2878.557335,-8956.491898,-3182.885551,-1302.362347
2878.557673,-9326.594869,-1998.556043,-1685.410096
2878.558011,-9474.636058,-1554.432478,-2451.505594
2878.558348,-11325.150913,-1554.432478,-2987.772442
2878.558686,-11843.295072,-2960.823768,-3983.696590
2878.559023,-11103.089130,-3478.967927,-4519.963438
2878.559361,-10362.883188,-5847.626942,-4136.915689
2878.559699,-9030.512492,-7105.977043,-3983.696590
2878.560036,-8512.368333,-7179.997637,-2757.943793
2878.560374,-8438.347739,-6291.750507,-1455.581446
2878.560712,-9548.656652,-4589.276840,-1072.533697
2878.561049,-11399.171507,-3997.112087,-2757.943793
2878.561387,-12065.356855,-2664.741391,-3753.867940
