#time,accel_x,accel_y,accel_z
2993.224833,-10658.965565,-1258.350101,1762.019645
2993.225170,-10140.821405,-592.164754,1225.752797
2993.225508,-10658.965565,-370.102971,1915.238745
2993.225846,-10955.047942,0.000000,766.095498
2993.226184,-11547.212695,-814.226536,612.876398
2993.226521,-10362.883188,-148.041188,459.657299
2993.226859,-8438.347739,-148.041188,459.657299
2993.227197,-10140.821405,296.082377,306.438199
2993.227535,-10214.842000,0.000000,-1302.362347
2993.227872,-10214.842000,-1406.391290,-766.095498
2993.228210,-9104.533087,-814.226536,-1149.143247
2993.228548,-8586.388927,0.000000,-1225.752797
2993.228886,-9918.759623,-518.144159,-1532.190996
2993.229223,-10436.903782,-1406.391290,-995.924147
2993.229561,-9178.553681,-1850.514855,-1072.533697
2993.229899,-9474.636058,-592.164754,-612.876398
2993.230237,-10140.821405,-740.205942,-383.047749
2993.230574,-10436.903782,-666.185348,-995.924147
2993.230912,-9696.697840,-1036.288319,-1302.362347
2993.231250,-9326.594869,-1480.411884,76.609550
2993.231588,-9474.636058,-592.164754,995.924147
2993.231925,-10584.944971,222.061783,459.657299
2993.232263,-11399.171507,740.205942,-1532.190996
2993.232601,-10066.800811,-444.123565,-1608.800546
2993.232939,-10066.800811,-296.082377,0.000000
2993.233277,-9844.739029,-444.123565,-306.438199
2993.233614,-9992.780217,-814.226536,-1072.533697
2993.233952,-10658.965565,-592.164754,-2681.334243
2993.234290,-10140.821405,-1998.556043,-3140.991542
2993.234628,-9622.677246,-2442.679609,-1991.848295
2993.234965,-9844.739029,-2516.700203,-1838.629195
2993.235303,-10510.924376,-2812.782580,-3140.991542
2993.235641,-10288.862594,-3627.009116,-5745.716235
2993.235979,-9622.677246,-3997.112087,-5209.449386
2993.236316,-9252.574275,-5921.647536,-3983.696590
2993.236654,-8216.285956,-5625.565159,-2451.505594
2993.236992,-9178.553681,-5625.565159,-1378.971896
2993.237330,-9992.780217,-4071.132681,-995.924147
2993.237667,-9918.759623,-3256.906145,-2451.505594
2993.238005,-10732.986159,-3256.906145,-2068.457845
2993.238343,-11547.212695,-4219.173869,-1838.629195
2993.238681,-10955.047942,-4145.153275,-2451.505594
2993.239018,-9992.780217,-5699.585753,-1455.581446
2993.239356,-9178.553681,-4885.359217,-1532.190996
2993.239694,-8216.285956,-4441.235652,153.219100
2993.240032,-9178.553681,-3034.844362,229.828649
2993.240369,-10362.883188,-1702.473667,76.609550
2993.240707,-11251.130318,-518.144159,-919.314598
2993.241045,-11473.192101,0.000000,-2911.162892
2993.241383,-10584.944971,-888.247130,-2528.115143
2993.241720,-11325.150913,-2220.617826,-1838.629195
2993.242058,-9992.780217,-3182.885551,-1378.971896
2993.242396,-8438.347739,-3256.906145,-612.876398
2993.242734,-8956.491898,-2664.741391,-842.705048
2993.243072,-9696.697840,-2442.679609,-1838.629195
2993.243409,-9178.553681,-3849.070898,-2987.772442
2993.243747,-9030.512492,-4441.235652,-1532.190996
2993.244085,-8956.491898,-2146.597232,229.828649
2993.244423,-9622.677246,-592.164754,0.000000
2993.244760,-11325.150913,222.061783,-1532.190996
2993.245098,-11991.336260,-1998.556043,-2834.553343
2993.245436,-10807.006753,-3182.885551,-2221.676944
2993.245774,-9474.636058,-3627.009116,-383.047749
2993.246111,-8586.388927,-3627.009116,459.657299
2993.246449,-8956.491898,-3330.926739,-1378.971896
2993.246787,-9474.636058,-3701.029710,-2298.286494
2993.247125,-9992.780217,-2146.597232,-2221.676944
2993.247462,-9992.780217,-222.061783,-2528.115143
2993.247800,-10288.862594,148.041188,-2451.505594
2993.248138,-11695.253884,0.000000,-2451.505594
2993.248476,-12805.562797,-592.164754,-2987.772442
2993.248813,-10955.047942,-740.205942,-3140.991542
2993.249151,-8512.368333,-1924.535449,-2298.286494
